"Date","AQS_SITE_ID","POC","Daily Mean Pb Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/04/2012","040078000","1","0.07","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"01/10/2012","040078000","1","0.097","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"01/16/2012","040078000","1","0.05","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"01/22/2012","040078000","1","0.029","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"01/28/2012","040078000","1","0.01","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"02/03/2012","040078000","1","0.03","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"02/09/2012","040078000","1","0.056","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"02/15/2012","040078000","1","0.004","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"02/21/2012","040078000","1","0.034","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"02/27/2012","040078000","1","0.006","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"03/04/2012","040078000","1","0.063","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"03/10/2012","040078000","1","0.016","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"03/16/2012","040078000","1","0.04","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"03/22/2012","040078000","1","0.007","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"03/28/2012","040078000","1","0.015","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"04/03/2012","040078000","1","0.011","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"04/09/2012","040078000","1","0.021","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"04/15/2012","040078000","1","0.021","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"04/21/2012","040078000","1","0.012","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"04/27/2012","040078000","1","0.02","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"05/03/2012","040078000","1","0.015","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"05/09/2012","040078000","1","0.004","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"05/15/2012","040078000","1","0.006","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"05/21/2012","040078000","1","0.02","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"05/27/2012","040078000","1","0.02","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"06/02/2012","040078000","1","0.027","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"06/08/2012","040078000","1","0.033","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"06/14/2012","040078000","1","0.04","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"06/20/2012","040078000","1","0.021","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"06/26/2012","040078000","1","0.017","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"07/02/2012","040078000","1","0.023","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"07/08/2012","040078000","1","0.007","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"07/14/2012","040078000","1","0.006","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"07/20/2012","040078000","1","0.011","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"07/26/2012","040078000","1","0.019","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"08/01/2012","040078000","1","0.013","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"08/07/2012","040078000","1","0.01","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"08/13/2012","040078000","1","0.005","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"08/19/2012","040078000","1","0.046","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"08/25/2012","040078000","1","0.045","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"08/31/2012","040078000","1","0.037","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"09/06/2012","040078000","1","0.151","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"09/12/2012","040078000","1","0.005","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"09/18/2012","040078000","1","0.006","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"09/24/2012","040078000","1","0.015","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"09/30/2012","040078000","1","0.01","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"10/06/2012","040078000","1","0.016","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"10/12/2012","040078000","1","0.027","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"10/18/2012","040078000","1","0.041","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"10/24/2012","040078000","1","0.064","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"10/30/2012","040078000","1","0.034","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"11/05/2012","040078000","1","0.037","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"11/11/2012","040078000","1","0.008","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"11/17/2012","040078000","1","0.008","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"11/23/2012","040078000","1","0.014","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"11/29/2012","040078000","1","0.018","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"12/05/2012","040078000","1","0.006","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"12/11/2012","040078000","1","0.011","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"12/17/2012","040078000","1","0.027","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"12/23/2012","040078000","1","0.012","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
"12/29/2012","040078000","1","0.004","ug/m3 LC",".","1","100.0000","14129","Lead (TSP) LC","37740","Payson, AZ","04","Arizona","007","Gila","33.4190167","-110.82967"
